State,Top Product,Google Maps Link to Nearest Costco
Alabama,Kirkland Premium Paper Towels,"https://www.google.com/maps/dir/32.3792233,-86.3077368/32.3639716,-86.1504978"
Alaska,Kirkland Premium Paper Towels,"https://www.google.com/maps/dir/58.30049329999999,-134.4201306/58.35888179999999,-134.4830795"
Arizona,Kirkland Prosecco,"https://www.google.com/maps/dir/33.4483771,-112.0740373/33.6713549,-112.0288205"
Arkansas,N/A,"https://www.google.com/maps/dir/34.7444618,-92.2880157/34.7573082,-92.4529458"
California,Kirkland Prosecco,"https://www.google.com/maps/dir/38.5815719,-121.4943996/38.8091891,-121.2043111"
Colorado,Kirkland Maple Syrup,"https://www.google.com/maps/dir/39.7392358,-104.990251/39.78952,-105.0829849"
Connecticut,Woozoo Globe Fan,"https://www.google.com/maps/dir/41.7658043,-72.6733723/41.81865610000001,-72.5558844"
Delaware,Kirkland French Vodka,No Costco found
Florida,Kirkland Three Berry Blend,"https://www.google.com/maps/dir/30.4381828,-84.28062349999999/30.46092999999999,-84.2122514"
Georgia,Goodles Cheddy Mac White Cheddar Shells,"https://www.google.com/maps/dir/33.748752,-84.38768449999999/33.9475147,-84.1426892"
Hawaii,Woozoo Globe Fan,"https://www.google.com/maps/dir/21.3098845,-157.8581401/21.3185502,-157.8708915"
Idaho,Kirkland Italian Style Beef meatballs,"https://www.google.com/maps/dir/43.6150186,-116.2023137/43.660822,-116.436825"
Illinois,Kirkland Prosecco,No Costco found
Indiana,Kirkland Signature Stretch Tite Plastic Food Wrap,"https://www.google.com/maps/dir/39.76909,-86.158018/39.91423040000001,-86.06152929999999"
Iowa,Sanders Small Batch Wonders Sea Salt Caramel,"https://www.google.com/maps/dir/41.5868417,-93.6249522/41.5623931,-93.80558769999999"
Kansas,N/A,"https://www.google.com/maps/dir/39.0473451,-95.67515759999999/39.0150304,-95.6523461"
Kentucky,Reese's Dipped Animal Crackers,"https://www.google.com/maps/dir/38.2009055,-84.87328350000001/38.0243244,-84.4098281"
Louisiana,N/A,"https://www.google.com/maps/dir/30.4514677,-91.18714659999999/30.4195697,-91.0749471"
Maine,Kirkland Premium Bath Tissue,No Costco found
Maryland,Kirkland Three Berry Blend,"https://www.google.com/maps/dir/38.9784453,-76.4921829/38.8616652,-77.05751430000001"
Massachusetts,Trident Fish Sticks,"https://www.google.com/maps/dir/42.3600825,-71.0588801/42.3968978,-71.0714924"
Michigan,Kirkland French Vodka,"https://www.google.com/maps/dir/42.732535,-84.5555347/42.752125,-84.4439292"
Minnesota,Sutton Place Cooling Throw,"https://www.google.com/maps/dir/44.9537029,-93.0899578/44.840432,-93.601984"
Mississippi,Goodles Cheddy Mac White Cheddar Shells,"https://www.google.com/maps/dir/32.2981392,-90.18065/32.4227502,-90.1467196"
Missouri,General Mills Morning Summit Cereal,No Costco found
Montana,Reeseâ€™s Dipped Animal Crackers,"https://www.google.com/maps/dir/46.5891452,-112.0391057/46.6151092,-112.0024687"
Nebraska,Reese's Dipped Animal Crackers,"https://www.google.com/maps/dir/40.8136634,-96.7025764/41.1771267,-96.1086385"
Nevada,Kirkland Organic No Salt Seasoning,"https://www.google.com/maps/dir/39.1637984,-119.7674034/39.5792135,-119.7386225"
New Hampshire,Costco Fresh Berries,No Costco found
New Jersey,Kirkland Signature Stretch Tite Plastic Food Wrap,"https://www.google.com/maps/dir/40.2205824,-74.759717/40.1968782,-75.0799238"
New Mexico,Kirkland Leggings,No Costco found
New York,Goodles Cheddy Mac White Cheddar Shells,"https://www.google.com/maps/dir/42.6525793,-73.7562317/43.0997694,-73.7358765"
North Carolina,N/A,"https://www.google.com/maps/dir/35.7795897,-78.6381787/35.8181676,-78.62170979999999"
North Dakota,Food Court Hotdog/Soda Combo,"https://www.google.com/maps/dir/46.8041643,-100.7877616/46.8646928,-100.7700739"
Ohio,Goodles Cheddy Mac White Cheddar Shells,"https://www.google.com/maps/dir/39.9611755,-82.99879419999999/40.0533226,-82.90493699999999"
Oklahoma,N/A,"https://www.google.com/maps/dir/35.4675602,-97.5164276/35.6041749,-97.5303089"
Oregon,Bibigo Cooked Sticky Rice,"https://www.google.com/maps/dir/44.9428975,-123.0350963/45.332572,-122.7635566"
Pennsylvania,General Mills Morning Summit Cereal,"https://www.google.com/maps/dir/40.2731911,-76.8867008/40.3064749,-76.797608"
Rhode Island,N/A,"https://www.google.com/maps/dir/41.8239891,-71.4128343/42.1372265,-71.06630109999999"
South Carolina,Kirkland Maple Syrup,"https://www.google.com/maps/dir/34.0008322,-81.035147/34.071145,-81.13922099999999"
South Dakota,Kirkland Italian Style Beef meatballs,No Costco found
Tennessee,La Terra Fina Spinach Artichoke & Parmesan Dip & Spread,"https://www.google.com/maps/dir/36.1626638,-86.7816016/36.328392,-86.6232249"
Texas,General Mills Morning Summit Cereal,"https://www.google.com/maps/dir/30.267153,-97.7430608/30.3967075,-97.74382779999999"
Utah,Kirkland Diapers,"https://www.google.com/maps/dir/40.7607793,-111.8910474/40.73132560000001,-111.9009468"
Vermont,Costco Fresh Berries,"https://www.google.com/maps/dir/44.26005929999999,-72.5753869/44.5039486,-73.1743212"
Virginia,Trident Fish Sticks,"https://www.google.com/maps/dir/37.5407246,-77.4360481/37.6425034,-77.5614061"
Washington,Trident Fish Sticks,"https://www.google.com/maps/dir/47.0378741,-122.9006951/47.4455063,-122.2487797"
West Virginia,N/A,No Costco found
Wisconsin,Sutton Place Cooling Throw,"https://www.google.com/maps/dir/43.0721661,-89.4007501/43.1678785,-89.2737427"
Wyoming,N/A,No Costco found
